order_id,order_date,product_id,qty_ordered,payment_method,cust_id,branch_id,team_id
100354677,1/10/2020,P00008,2,touch n go,42485,B00024,T00024
100354677,1/10/2020,P00039,2,grab pay,42485,B00024,T00024
100354677,1/10/2020,P00035,2,cash,42485,B00024,T00024
100354678,1/10/2020,P00035,21,cash,60124,B00018,T00018
100354678,1/10/2020,P00039,11,debit card,60124,B00018,T00018
100354679,1/10/2020,P00043,2,boost,53620,B00016,T00016
100354679,1/10/2020,P00016,2,boost,53620,B00016,T00016
100354680,1/10/2020,P00004,9,cash,60124,B00029,T00029
100354680,1/10/2020,P00024,9,MAE,60124,B00029,T00029
100354681,1/10/2020,P00005,2,grab pay,56836,B00025,T00069
100354682,1/10/2020,P00006,2,MAE,56836,B00007,T00053
100354683,1/10/2020,P00045,3,MAE,60125,B00041,T00055
100354683,1/10/2020,P00030,2,touch n go,60125,B00041,T00055
100354684,1/10/2020,P00015,2,credit card,56836,B00013,T00013
100354685,1/10/2020,P00030,2,touch n go,51286,B00050,T00050
100354686,1/10/2020,P00005,2,Big Pay,60126,B00015,T00015
100354687,1/10/2020,P00028,2,Big Pay,60127,B00001,T00001
100354688,1/10/2020,P00023,2,MAE,60128,B00026,T00026
100354689,1/10/2020,P00040,3,credit card,56449,B00024,T00024
100354689,1/10/2020,P00007,2,debit card,56449,B00024,T00024
100354690,1/10/2020,P00032,2,touch n go,56449,B00048,T00068
100354691,1/10/2020,P00015,4,debit card,56449,B00005,T00005
100354692,1/10/2020,P00025,2,credit card,56449,B00021,T00021
100354693,1/10/2020,P00014,4,debit card,56449,B00037,T00037
100354694,1/10/2020,P00038,2,touch n go,56449,B00047,T00047
100354695,1/10/2020,P00006,2,debit card,60129,B00021,T00021
100354696,1/10/2020,P00033,2,MAE,60130,B00001,T00054
100354697,1/10/2020,P00029,2,boost,31655,B00009,T00009
100354697,1/10/2020,P00001,2,MAE,31655,B00009,T00009
100354697,1/10/2020,P00050,2,debit card,31655,B00009,T00009
100354698,1/10/2020,P00016,2,boost,15106,B00014,T00060
100354699,1/10/2020,P00001,2,credit card,60131,B00018,T00018
100354700,1/10/2020,P00040,1,cash,37011,B00031,T00031
100354700,1/10/2020,P00035,1,grab pay,37011,B00031,T00031
100354701,1/10/2020,P00005,4,grab pay,52163,B00026,T00026
100354702,1/10/2020,P00012,2,cash,60132,B00038,T00038
100354702,1/10/2020,P00035,2,boost,60132,B00038,T00038
100354703,1/10/2020,P00044,2,touch n go,44511,B00018,T00018
100354704,1/10/2020,P00007,2,touch n go,60132,B00044,T00044
100354704,1/10/2020,P00021,2,Big Pay,60132,B00044,T00044
100354705,1/10/2020,P00023,2,MAE,60133,B00014,T00014
100354705,1/10/2020,P00017,3,boost,60133,B00014,T00014
100354705,1/10/2020,P00037,2,touch n go,60133,B00014,T00014
100354706,1/10/2020,P00050,2,touch n go,60133,B00039,T00039
100354706,1/10/2020,P00045,3,debit card,60133,B00039,T00039
100354706,1/10/2020,P00033,2,MAE,60133,B00039,T00039
100354707,1/10/2020,P00017,2,touch n go,60133,B00003,T00003
100354707,1/10/2020,P00039,3,debit card,60133,B00003,T00003
100354707,1/10/2020,P00001,2,boost,60133,B00003,T00003
100354708,1/10/2020,P00044,2,debit card,60133,B00007,T00053
100354708,1/10/2020,P00040,3,shopee pay,60133,B00007,T00053
100354708,1/10/2020,P00024,2,credit card,60133,B00007,T00053
100354709,1/10/2020,P00039,2,Big Pay,60133,B00027,T00027
100354709,1/10/2020,P00045,3,credit card,60133,B00027,T00027
100354709,1/10/2020,P00010,2,touch n go,60133,B00027,T00027
100354710,1/10/2020,P00002,2,grab pay,60133,B00016,T00016
100354710,1/10/2020,P00018,3,touch n go,60133,B00016,T00016
100354710,1/10/2020,P00007,2,shopee pay,60133,B00016,T00016
100354711,1/10/2020,P00019,2,shopee pay,60133,B00018,T00018
100354711,1/10/2020,P00032,3,debit card,60133,B00018,T00018
100354711,1/10/2020,P00015,2,shopee pay,60133,B00018,T00018
100354712,1/10/2020,P00021,2,debit card,60133,B00021,T00021
100354712,1/10/2020,P00020,3,cash,60133,B00021,T00021
100354712,1/10/2020,P00029,2,debit card,60133,B00021,T00021
100354713,1/10/2020,P00049,2,shopee pay,60133,B00001,T00054
100354713,1/10/2020,P00020,3,shopee pay,60133,B00001,T00054
100354713,1/10/2020,P00017,2,debit card,60133,B00001,T00054
100354714,1/10/2020,P00039,2,credit card,60133,B00012,T00012
100354714,1/10/2020,P00008,3,debit card,60133,B00012,T00012
100354714,1/10/2020,P00020,2,debit card,60133,B00012,T00012
100354715,1/10/2020,P00038,2,cash,60133,B00048,T00048
100354715,1/10/2020,P00046,3,MAE,60133,B00048,T00048
100354715,1/10/2020,P00044,2,debit card,60133,B00048,T00048
100354716,1/10/2020,P00011,1,credit card,60134,B00036,T00036
100354716,1/10/2020,P00008,1,shopee pay,60134,B00036,T00036
100354717,1/10/2020,P00049,2,Big Pay,60135,B00006,T00006
100354718,1/10/2020,P00009,2,cash,60135,B00016,T00016
100354719,1/10/2020,P00019,2,shopee pay,6702,B00038,T00038
100354720,1/10/2020,P00013,2,credit card,60136,B00020,T00020
100354721,1/10/2020,P00019,4,Big Pay,60137,B00009,T00009
100354721,1/10/2020,P00005,2,Big Pay,60137,B00009,T00009
100354722,1/10/2020,P00038,2,boost,60138,B00018,T00018
100354723,1/10/2020,P00043,2,debit card,46942,B00012,T00012
100354724,1/10/2020,P00013,2,boost,41583,B00022,T00022
100354725,1/10/2020,P00005,2,debit card,60139,B00044,T00044
100354726,1/10/2020,P00050,2,debit card,59905,B00011,T00011
100354726,1/10/2020,P00026,2,shopee pay,59905,B00011,T00011
100354726,1/10/2020,P00032,2,credit card,59905,B00011,T00011
100354727,1/10/2020,P00024,2,touch n go,55731,B00050,T00050
100354727,1/10/2020,P00026,2,grab pay,55731,B00050,T00050
100354727,1/10/2020,P00034,2,touch n go,55731,B00050,T00050
